Película,Género,Ratings Rotten Tomatoes %,Ratings Audiencia %,Presupuesto (millones $),Año Lanzamiento
(500) Days of Summer ,Comedia,87,81,8,2009
"10,000 B.C.",Aventura,9,44,105,2008
12 Rounds ,Acción,30,52,20,2009
127 Hours,Aventura,93,84,18,2010
17 Again ,Comedia,55,70,20,2009
2012,Acción,39,63,200,2009
27 Dresses,Comedia,40,71,30,2008
30 Days of Night,Terror,50,57,32,2007
30 Minutes or Less,Comedia,43,48,28,2011
50/50,Comedia,93,93,8,2011
88 Minutes,Drama,5,51,30,2007
A Dangerous Method,Drama,79,89,20,2011
A Nightmare on Elm Street,Terror,13,40,35,2010
A Serious Man ,Drama,89,64,7,2009
A Very Harold and Kumar Christmas,Comedia,72,71,19,2011
Abduction,Acción,4,46,35,2011
Across the Universe,Romance,54,84,45,2007
Adventureland ,Comedia,89,56,10,2009
Albert Nobbs,Drama,53,43,8,2011
Alice in Wonderland,Aventura,52,72,200,2010
Alien vs. Predator -- Requiem,Terror,14,37,40,2007
Aliens in the Attic ,Aventura,30,46,45,2009
All About Steve ,Comedia,6,35,15,2009
All Good Things,Drama,33,64,20,2010
Amelia ,Aventura,21,35,40,2009
American Gangster,Suspenso,79,87,100,2007
An Education,Drama,94,78,8,2009
Anonymous,Drama,46,66,30,2011
Apollo 18,Terror,23,31,5,2011
Appaloosa,Acción,77,55,20,2008
Armored ,Acción,40,34,20,2009
Arthur,Comedia,26,49,40,2011
Australia,Aventura,55,69,78,2008
Avatar ,Acción,83,92,237,2009
Away We Go ,Comedia,67,74,21,2009
Baby Mama,Comedia,63,59,70,2008
Babylon A.D.,Acción,7,32,45,2008
Bad Teacher,Comedia,44,38,20,2011
Bandslam ,Comedia,79,60,20,2009
Bangkok Dangerous,Acción,9,33,45,2008
Battle: Los Angeles,Acción,35,50,70,2011
"Be Kind, Rewind",Comedia,65,57,20,2008
Beastly,Romance,19,50,17,2011
Bedtime Stories,Comedia,25,63,80,2008
Beginners,Comedia,84,80,4,2010
Beowulf,Acción,71,52,150,2007
Beverly Hills Chihuahua,Aventura,41,56,20,2008
Black Swan        ,Drama,88,86,13,2010
Blades of Glory,Comedia,69,66,61,2007
Body of Lies,Acción,53,65,68,2008
Bride Wars ,Comedia,11,56,30,2009
Bridesmaids,Comedia,90,77,33,2011
Brooklyn's Finest,Acción,42,47,17,2009
Brothers ,Drama,61,62,26,2009
Bruno ,Comedia,68,48,42,2009
Buried,Drama,86,63,2,2010
Burlesque,Drama,36,66,55,2010
Burn After Reading,Comedia,78,64,37,2008
Captain America: The First Avenger,Acción,78,75,140,2011
Case 39,Terror,23,42,26,2009
Cats & Dogs: The Revenge of Kitty Galore,Acción,13,43,85,2010
Cedar Rapids,Comedia,86,61,10,2011
Changeling,Drama,62,84,55,2008
Cirque du Freak: The Vampire's Assistant ,Acción,38,50,40,2009
City Island,Comedia,81,77,6,2009
City of Ember,Aventura,52,48,38,2008
Clash of the Titans,Acción,28,48,125,2010
Cloverfield,Acción,77,67,25,2008
College Road Trip,Aventura,13,56,140,2008
Colombiana,Acción,28,55,40,2011
Conan the Barbarian,Acción,22,34,90,2011
Confessions of a Shopaholic ,Comedia,24,53,70,2009
Contagion,Suspenso,84,63,60,2011
Cop Out,Acción,19,45,30,2010
Country Strong,Drama,20,56,15,2010
Couples Retreat ,Comedia,12,47,60,2009
Cowboys and Aliens,Acción,44,50,163,2011
Crank: High Voltage ,Acción,62,54,13,2009
"Crazy, Stupid, Love",Romance,78,81,50,2011
Cyrus,Comedia,80,51,7,2010
Daddy Day Camp,Comedia,1,63,6,2007
Dance Flick ,Acción,17,35,25,2009
Date Night,Comedia,66,58,55,2010
"Daybreakers	",Acción,67,50,20,2009
Dear John,Drama,29,66,25,2010
Death at a Funeral,Comedia,40,48,21,2007
Death Race,Acción,42,69,45,2008
"Definitely, Maybe",Comedia,71,72,7,2008
Devil,Terror,52,45,10,2010
Diary of a Wimpy Kid,Comedia,53,49,15,2010
Diary of a Wimpy Kid 2: Rodrick Rules,Comedia,47,63,21,2011
Did You Hear About the Morgans? ,Comedia,12,31,58,2009
Dinner for Schmucks,Comedia,43,47,69,2010
Disaster Movie,Comedia,2,28,20,2008
District 9 ,Acción,91,81,30,2009
Disturbia,Suspenso,67,75,20,2007
Dolphin Tale,Drama,84,81,37,2011
Don't Be Afraid Of The Dark,Terror,59,37,25,2010
Doomsday,Acción,48,47,33,2008
Doubt,Drama,78,75,25,2008
Drag Me to Hell ,Terror,92,61,30,2009
Dragon Wars (aka D-War),Acción,27,44,75,2007
Dragonball Evolution ,Acción,15,28,30,2009
Dream House,Terror,7,38,50,2011
Drillbit Taylor,Comedia,26,49,40,2008
Drive,Suspenso,93,79,15,2011
Drive Angry,Acción,45,38,45,2011
Due Date,Comedia,40,56,50,2010
Duplicity ,Romance,64,38,60,2009
Dylan Dog: Dead of Night,Terror,6,28,20,2010
Eagle Eye,Acción,27,72,80,2008
Easy A,Comedia,85,75,8,2010
"Eat Pray Love	",Drama,36,46,60,2010
Enchanted,Comedia,93,80,85,2007
Epic Movie,Comedia,2,38,20,2007
Evan Almighty,Comedia,23,56,175,2007
Everybody's Fine ,Drama,46,55,21,2009
Everything Must Go,Drama,74,53,5,2010
Extract ,Comedia,62,37,8,2009
"Extraordinary Measures	",Drama,27,55,31,2010
Extremely Loud and Incredibly Close,Drama,47,62,40,2011
Fame,Comedia,25,43,18,2009
Fantastic Four: Rise of the Silver Surfer,Acción,35,55,130,2007
Fast and Furious ,Acción,28,76,85,2009
Fast Five,Acción,78,83,125,2011
"Faster	",Acción,41,50,24,2010
Final Destination 5,Terror,61,56,40,2011
Fired Up! ,Comedia,22,52,20,2009
Fireproof,Drama,40,51,1,2008
First Sunday,Comedia,13,59,13,2008
Fool's Gold,Aventura,11,53,73,2008
Footloose,Drama,71,71,24,2011
For Colored Girls,Drama,33,73,21,2010
Forgetting Sarah Marshall,Comedia,85,75,30,2008
Four Christmases,Comedia,26,52,80,2008
Friday the 13th,Terror,25,52,19,2009
Friends With Benefits,Romance,71,68,35,2011
Fright Night,Terror,75,68,30,2011
From Paris with Love,Acción,38,57,52,2010
Funny People ,Comedia,68,58,75,2009
"Furry Vengeance	",Comedia,8,36,35,2010
G-Force ,Acción,22,50,150,2009
G.I. Joe: The Rise of Cobra ,Acción,33,62,175,2009
Gamer ,Acción,29,43,13,2009
Get Him to the Greek,Comedia,73,63,40,2010
Get Smart,Acción,51,73,80,2008
Ghost Rider,Acción,28,56,110,2007
Ghost Town,Comedia,85,60,20,2008
Ghosts of Girlfriends Past ,Comedia,27,47,50,2009
Going the Distance,Comedia,53,56,32,2010
Good Luck Chuck,Comedia,3,61,25,2007
Gran Torino,Drama,80,90,33,2008
Green Lantern,Acción,27,48,200,2011
Green Zone,Acción,53,60,100,2010
Greenberg,Comedia,75,40,0,2010
Grindhouse,Acción,82,86,53,2007
"Grown Ups	",Comedia,10,59,80,2010
Gulliver's Travels,Comedia,21,31,112,2010
Hachiko: A Dog's Story,Drama,58,85,16,2009
Hall Pass,Comedia,35,44,36,2011
Halloween,Terror,26,64,20,2007
Halloween II,Terror,20,45,15,2009
Hancock,Acción,40,67,150,2008
Hanna,Acción,71,67,30,2011
Hannah Montana: The Movie ,Comedia,44,66,35,2009
Harold and Kumar Escape from Guantanamo Bay,Aventura,54,65,12,2008
Harry Potter and the Deathly Hallows Part 1,Aventura,79,87,125,2010
Harry Potter and the Half-Blood Prince ,Aventura,83,75,250,2009
Harry Potter and the Order of the Phoenix,Aventura,78,82,150,2007
He's Just Not That Into You ,Comedia,42,60,25,2009
Hellboy II: The Golden Army,Acción,87,70,83,2008
Hesher,Drama,54,68,7,2010
High School Musical 3: Senior Year,Comedia,65,76,11,2008
Hitman,Acción,15,61,18,2007
Horrible Bosses,Comedia,69,72,35,2011
Hostel: Part II,Terror,44,45,10,2007
Hot Tub Time Machine,Aventura,64,57,36,2010
Hotel for Dogs ,Comedia,46,57,35,2009
Hugo,Aventura,93,84,150,2011
I Am Legend,Suspenso,69,69,150,2007
I Am Number Four,Suspenso,32,57,60,2011
I Love You Beth Cooper ,Comedia,14,38,18,2009
I Love You Phillip Morris,Comedia,71,57,15,2009
"I Love You, Man ",Comedia,83,72,40,2009
I Now Pronounce You Chuck and Larry,Comedia,13,73,85,2007
I'm Still Here,Comedia,52,38,0,2010
Imagine That ,Comedia,38,44,55,2009
Immortals,Acción,36,59,75,2011
In the Land of Women,Comedia,43,72,10,2007
In Time,Suspenso,38,55,40,2011
Inception,Acción,86,93,160,2010
Indiana Jones and the Kingdom of the Crystal Skull,Acción,77,59,185,2008
Inglourious Basterds ,Aventura,88,87,70,2009
Inkheart ,Aventura,39,51,60,2008
Insidious,Terror,67,65,2,2008
Into the Wild,Drama,82,90,15,2007
Iron Man,Acción,94,91,186,2008
Iron Man 2,Acción,74,80,200,2010
It's Complicated ,Comedia,56,63,85,2009
J.Edgar,Drama,42,84,35,2011
Jack and Jill,Comedia,4,59,79,2011
Jane Eyre,Romance,85,77,0,2011
Jennifer's Body ,Comedia,42,37,16,2009
Johnny English Reborn,Comedia,38,55,45,2011
Jonah Hex,Acción,13,24,47,2010
Journey to the Center of the Earth,Acción,61,55,45,2008
Jumper,Acción,16,50,83,2008
Juno,Comedia,94,89,8,2007
Just Go With It,Romance,19,63,80,2011
Just Wright,Comedia,45,58,12,2010
Kick-Ass,Acción,76,83,30,2010
Killer Elite,Acción,25,48,70,2011
Killers,Acción,11,45,75,2010
Kit Kittredge: An American Girl,Drama,78,26,10,2008
Knight and Day,Acción,53,52,117,2010
Knocked Up,Comedia,91,83,33,2007
Knowing ,Drama,33,50,50,2009
Land of the Lost ,Drama,26,38,100,2009
Larry Crowne,Drama,34,46,30,2011
Leap Year,Comedia,21,49,19,2010
Leatherheads,Comedia,52,41,58,2008
Legion,Acción,19,36,26,2010
Letters to Juliet,Comedia,40,62,30,2010
License to Wed,Comedia,8,55,35,2007
Life as We Know It,Comedia,28,62,38,2010
Limitless,Suspenso,69,73,27,2011
Lions for Lambs,Drama,27,48,35,2007
Little Fockers,Comedia,9,40,100,2010
Live Free or Die Hard,Acción,79,86,110,2007
Love & Other Drugs,Comedia,48,55,30,2010
Love Happens ,Drama,18,40,18,2009
MacGruber,Acción,47,33,10,2010
Machete,Acción,73,66,20,2010
Machine Gun Preacher,Acción,29,71,30,2011
Mad Money,Comedia,22,51,22,2008
Made of Honor,Comedia,13,61,40,2008
Mamma Mia!,Comedia,53,76,66,2008
Margin Call,Suspenso,86,73,4,2011
Marley and Me,Comedia,63,77,55,2008
Marmaduke,Comedia,9,46,50,2010
Max Payne,Acción,16,36,35,2008
Meet Dave,Aventura,19,42,60,2008
Meet the Spartans,Comedia,2,31,30,2008
Michael Clayton,Suspenso,90,72,25,2007
Midnight in Paris,Romance,93,84,17,2011
Miracle at St. Anna,Acción,34,68,45,2008
Mirrors,Terror,14,49,35,2008
Miss Pettigrew Lives for a Day,Comedia,78,70,60,2008
Mission Impossible 4,Acción,93,86,145,2011
Moneyball,Drama,95,89,50,2011
Monte Carlo,Romance,38,50,20,2011
Morning Glory,Comedia,54,54,40,2010
Mother and Child,Drama,79,61,7,2009
Mr. Brooks,Suspenso,56,75,20,2007
Mr. Popper's Penguins,Comedia,47,54,55,2011
Music and Lyrics,Romance,63,70,40,2007
My Best Friend's Girl,Comedia,14,51,20,2008
My Life in Ruins ,Comedia,9,43,17,2009
My Sister's Keeper ,Drama,47,73,28,2009
My Soul to Take,Terror,9,29,25,2010
My Week with Marilyn,Drama,83,84,10,2011
Nancy Drew,Suspenso,49,61,20,2007
Nanny McPhee Returns,Comedia,77,54,35,2010
National Treasure: Book of Secrets,Suspenso,31,72,130,2007
Never Back Down,Acción,23,37,21,2008
Never Let Me Go,Drama,70,70,15,2010
New Year's Eve,Romance,8,48,56,2011
Next,Suspenso,29,59,70,2007
Next Day Air ,Acción,21,27,3,2009
Nick and Norah's Infinite Playlist,Comedia,73,67,10,2008
Night at the Museum: Battle of the Smithsonian ,Acción,43,60,150,2009
Nights in Rodanthe,Drama,31,56,30,2008
Nim's Island,Aventura,51,50,37,2008
Nine ,Drama,37,40,80,2009
Ninja Assassin ,Acción,25,57,50,2009
No Country for Old Men,Drama,95,84,25,2007
No Reservations,Comedia,39,64,28,2007
No Strings Attached,Comedia,49,57,25,2011
Norbit,Comedia,9,56,60,2007
Not Easily Broken ,Drama,34,66,5,2009
Observe and Report ,Comedia,51,40,18,2009
Obsessed ,Drama,20,50,20,2009
Ocean's 13,Suspenso,70,74,85,2007
Old Dogs ,Comedia,5,49,35,2009
One Day,Romance,37,54,15,2011
One Missed Call,Terror,0,36,20,2008
Orphan ,Terror,55,65,30,2009
Our Family Wedding,Comedia,14,49,0,2010
Our Idiot Brother,Comedia,68,79,5,2011
Over Her Dead Body,Comedia,15,47,10,2008
P.S. I Love You,Romance,21,82,30,2007
Pandorum ,Acción,28,49,40,2009
Paranormal Activity ,Terror,82,56,1,2007
Paranormal Activity 2,Terror,0,0,3,2010
Paranormal Activity 3,Terror,68,58,5,2011
Pathfinder: Legend of the Ghost Warrior,Acción,11,41,26,2007
Paul,Comedia,72,70,40,2011
Paul Blart: Mall Cop ,Acción,33,50,26,2009
Penelope,Comedia,52,74,15,2008
Percy Jackson & the Olympians: The Lightning Thief,Acción,50,57,95,2010
Pineapple Express,Acción,68,74,26,2008
Piranha 3-D,Comedia,74,45,24,2010
"Pirate Radio (The Boat that Rocked, UK)",Comedia,60,72,50,2009
Pirates of the Caribbean: On Stranger Tides,Acción,34,61,250,2011
Pirates of the Caribbean: At World's End,Acción,45,74,300,2007
Please Give,Comedia,88,62,3,2010
Post Grad ,Comedia,7,31,15,2009
Predators,Acción,64,52,40,2010
Premonition,Drama,8,55,20,2007
Priest,Acción,17,37,60,2011
Prince of Persia: The Sands of Time,Acción,36,71,200,2010
Prom Night,Terror,8,46,18,2008
Punisher: War Zone,Acción,27,47,35,2008
Push ,Acción,22,47,38,2009
Quantum of Solace,Acción,64,62,230,2008
Quarantine,Terror,59,46,12,2008
Race to Witch Mountain ,Acción,42,50,50,2009
Rachel Getting Married,Drama,85,61,12,2008
Rambo,Acción,36,70,48,2008
Real Steel,Acción,58,81,110,2011
Red,Acción,71,72,58,2010
Red Riding Hood,Terror,11,41,42,2011
Red State,Terror,57,59,4,2011
Remember Me,Drama,28,70,16,2010
Repo Men,Acción,22,43,32,2010
Resident Evil: Afterlife,Acción,24,53,60,2010
Rise of the Planet of the Apes,Acción,83,87,93,2011
Robin Hood,Acción,42,59,200,2010
Role Models,Comedia,77,75,28,2008
Rush Hour 3,Acción,20,68,140,2007
Salt,Acción,62,62,110,2010
Sanctum,Acción,30,39,30,2011
Saw IV,Terror,18,70,10,2007
Saw VI ,Terror,40,67,11,2009
Scott Pilgrim vs. the World,Acción,81,83,60,2010
Scream 4,Terror,58,57,40,2011
Season Of The Witch,Acción,10,32,40,2011
Semi-Pro,Comedia,21,41,3,2008
Seven Pounds,Drama,27,77,55,2008
Sex and the City,Comedia,49,81,58,2008
Sex and the City 2,Comedia,15,49,100,2010
Sex Drive,Aventura,46,61,19,2008
Shame,Drama,80,80,7,2011
Shark Night 3D,Terror,16,25,25,2011
She's Out of My League,Comedia,57,60,20,2010
Sherlock Holmes ,Acción,70,81,90,2009
Sherlock Holmes 2,Acción,60,79,125,2011
Shoot 'Em Up,Acción,67,66,39,2007
Shooter,Acción,47,82,61,2007
Shutter,Terror,7,40,8,2008
Shutter Island,Drama,68,73,80,2010
Skyline,Acción,16,19,10,2010
Smart People,Comedia,50,41,7,2008
Solitary Man,Comedia,81,47,15,2009
Something Borrowed,Romance,0,0,35,2011
Sorority Row ,Terror,22,38,13,2009
Soul Men,Comedia,45,42,0,2008
Soul Surfer,Drama,46,79,18,2011
Source Code,Suspenso,92,81,32,2011
Speed Racer,Acción,38,61,120,2008
Spider-Man 3,Acción,61,54,258,2007
Spy Kids: All The Time in the World,Acción,22,40,27,2011
Star Trek ,Acción,94,91,140,2009
Stardust,Aventura,76,86,70,2007
Step Brothers,Comedia,54,68,65,2008
Step Up 2: The Streets,Drama,26,81,18,2008
Step Up 3D,Drama,46,67,30,2010
Stone,Drama,49,20,22,2010
Stop-Loss,Drama,65,27,25,2008
Street Fighter: The Legend of Chun-Li ,Acción,16,28,50,2009
Street Kings,Acción,37,62,20,2008
Sucker Punch,Acción,23,48,82,2011
Sunshine Cleaning ,Comedia,72,59,5,2008
Super 8 ,Terror,82,78,50,2011
Superbad,Comedia,88,87,20,2007
Superhero Movie,Comedia,15,36,65,2008
Surrogates ,Acción,39,42,80,2009
Swing Vote,Comedia,36,44,20,2008
Take Me Home Tonight,Comedia,28,46,25,2011
Take Shelter,Drama,92,85,5,2011
Taken ,Acción,58,83,25,2008
Takers,Acción,27,57,32,2010
Taking Woodstock ,Comedia,48,48,29,2009
Terminator Salvation ,Acción,33,64,200,2009
The A-Team,Acción,47,71,100,2010
The Adjustment Bureau,Suspenso,72,67,51,2011
The Adventures of Tintin,Aventura,74,78,130,2011
The Artist,Drama,97,91,16,2011
The Back-up Plan,Comedia,20,47,35,2010
The Bank Job,Suspenso,78,74,20,2008
The Beaver,Drama,62,57,21,2011
The Big Year,Comedia,38,62,41,2011
The Book of Eli        ,Acción,48,68,80,2010
The Bounty Hunter,Acción,7,41,40,2010
The Bourne Ultimatum,Suspenso,93,91,110,2007
The Box ,Drama,46,27,30,2009
The Boy in the Striped Pyjamas,Drama,63,84,13,2008
The Brave One,Acción,43,65,70,2007
The Bucket List,Drama,41,81,45,2007
The Change Up,Comedia,24,53,52,2011
The Chronicles of Narnia: Prince Caspian,Acción,66,78,200,2008
The Chronicles of Narnia: The Voyage of the Dawn Treader,Aventura,49,63,155,2010
The Company Men,Drama,66,55,15,2010
The Conspirator,Drama,56,65,25,2010
The Crazies,Terror,72,54,20,2010
The Darjeeling Limited,Drama,67,79,18,2007
The Dark Knight,Suspenso,94,96,185,2008
The Day the Earth Stood Still ,Suspenso,19,34,100,2008
The Debt,Suspenso,76,70,20,2010
The Descendants,Drama,89,88,20,2011
The Dilemma,Comedia,23,31,70,2011
The Duchess,Drama,60,68,14,2008
The Eagle,Acción,39,43,25,2011
The Expendables,Acción,40,58,82,2010
The Eye,Terror,22,51,12,2008
The Fighter,Drama,91,88,25,2010
The Final Destination ,Terror,29,52,40,2009
The Forbidden Kingdom,Acción,64,65,55,2008
The Game Plan,Comedia,27,75,22,2007
The Girl With The Dragon Tattoo,Suspenso,87,89,90,2011
The Golden Compass,Acción,42,55,180,2007
The Green Hornet,Acción,44,47,120,2011
The Hangover ,Comedia,79,87,35,2009
The Hangover Part II,Comedia,35,58,80,2011
The Happening,Suspenso,19,29,48,2008
The Haunting in Connecticut ,Drama,17,51,30,2009
The Haunting of Molly Hartley,Terror,3,22,5,2008
The Heartbreak Kid,Comedia,30,41,60,2007
The Help,Drama,75,91,25,2011
The Hills Have Eyes 2,Terror,11,50,15,2007
The House Bunny,Comedia,39,54,25,2008
The Hurt Locker ,Drama,97,83,15,2008
The Ides of March,Suspenso,85,76,13,2011
The Incredible Hulk,Acción,67,75,138,2008
The Informant! ,Comedia,78,42,22,2009
The International ,Acción,58,39,50,2009
The Invention of Lying ,Comedia,56,47,19,2009
The Iron Lady,Drama,53,54,13,2011
The Joneses,Comedia,61,47,10,2011
The Karate Kid,Acción,66,75,40,2010
The Kids Are All Right,Comedia,94,72,4,2010
The Kingdom,Acción,52,78,80,2007
The Kite Runner,Drama,66,85,20,2007
The Last Airbender,Acción,6,42,150,2010
The Last Exorcism,Drama,73,32,2,2010
The Last Song,Drama,19,66,20,2010
The Lincoln Lawyer,Drama,84,82,40,2011
The Longshots,Comedia,39,39,30,2008
The Losers,Acción,47,55,25,2010
The Love Guru,Comedia,14,38,62,2008
The Lovely Bones ,Drama,32,57,65,2009
The Mechanic,Acción,53,52,40,2011
The Men Who Stare at Goats ,Comedia,52,43,25,2009
The Mist,Terror,72,64,18,2007
The Mummy: Tomb of the Dragon Emperor,Acción,14,40,145,2008
The Muppets,Comedia,97,87,45,2011
The Nanny Diaries,Comedia,33,52,20,2007
The Other Boleyn Girl,Drama,41,65,40,2008
The Other Guys,Acción,78,57,100,2010
The Pink Panther 2 ,Aventura,12,47,59,2009
The Proposal ,Comedia,43,74,40,2009
The Reaping,Terror,9,53,40,2007
The Rite,Terror,20,43,37,2011
The Road ,Aventura,75,65,25,2009
The Roommate,Terror,4,29,16,2011
The Ruins,Terror,46,32,25,2008
The Rum Diary,Drama,50,48,45,2011
The Secret Life of Bees,Drama,56,78,11,2008
The Simpsons Movie,Comedia,90,78,75,2007
The Sitter,Comedia,22,43,25,2011
The Soloist ,Drama,56,59,60,2009
The Son Of No One,Suspenso,18,61,15,2011
The Sorcerer's Apprentice,Acción,42,57,150,2010
The Spirit,Acción,14,29,6,2008
The Spy Next Door,Acción,13,46,0,2010
The Strangers,Terror,44,48,9,2008
The Switch,Comedia,52,44,19,2010
The Taking of Pelham 1 2 3 ,Acción,51,60,100,2009
The Thing,Terror,36,52,38,2011
The Three Musketeers,Acción,24,48,75,2011
The Time Traveler's Wife ,Drama,38,65,39,2009
The Tourist,Suspenso,20,44,100,2010
The Tree Of Life,Drama,84,61,32,2011
"The Twilight Saga: Eclipse	",Drama,50,74,68,2010
The Twilight Saga: New Moon ,Drama,27,78,50,2009
The Ugly Truth ,Comedia,14,68,38,2009
The Unborn,Terror,11,39,16,2009
The Uninvited ,Drama,31,52,0,2009
The Visitor,Drama,92,83,4,2007
The Wolfman,Drama,33,38,150,2010
The Women,Drama,13,41,16,2008
The X-Files: I Want to Believe,Suspenso,32,34,35,2008
There Will Be Blood,Drama,91,84,25,2007
Thor,Acción,77,80,150,2011
Tinker Tailor Soldier Spy,Suspenso,83,68,21,2011
TMNT,Acción,33,63,35,2007
Tooth Fairy,Comedia,16,46,48,2010
Tower Heist,Comedia,68,61,75,2011
Traitor,Suspenso,55,66,22,2008
Transformers,Acción,57,89,150,2007
Transformers: Dark of the Moon,Acción,35,67,195,2011
Transformers: Revenge of the Fallen ,Acción,20,76,210,2009
Transporter 3,Acción,36,58,30,2008
Trespass,Suspenso,11,24,35,2011
Tron: Legacy,Acción,50,67,170,2010
Tropic Thunder,Comedia,83,69,90,2008
True Grit,Aventura,96,86,38,2010
Twilight,Romance,49,82,37,2008
Twilight: Breaking Dawn,Romance,26,68,110,2011
Tyler Perry's Meet the Browns,Drama,31,36,20,2008
Tyler Perry's The Family That Preys,Drama,51,36,10,2008
Tyler Perry's Why Did I get Married,Romance,46,47,15,2007
Under the Same Moon,Drama,72,37,2,2007
Underworld: Rise of the Lycans ,Acción,30,68,35,2009
Unknown,Suspenso,55,57,30,2011
Unstoppable,Acción,86,73,95,2010
Untraceable,Suspenso,14,56,35,2008
Up in the Air ,Drama,90,76,25,2009
Vacancy,Comedia,55,46,19,2007
Valentine's Day,Comedia,17,54,52,2010
Valkyrie,Suspenso,58,66,75,2008
Vampires Suck,Comedia,4,32,20,2010
Vanishing on 7th Street,Terror,52,62,10,2010
Vantage Point,Suspenso,35,61,40,2008
Vicky Cristina Barcelona,Romance,82,73,16,2008
W.,Drama,60,42,26,2008
Waiting For Forever,Romance,6,53,5,2010
Waitress,Romance,89,67,2,2007
Walk Hard: The Dewey Cox Story,Comedia,75,55,35,2007
Wall Street: Money Never Sleeps,Drama,54,43,70,2010
Wanted,Acción,73,72,75,2008
War Horse,Drama,77,73,66,2011
Warrior,Acción,83,93,25,2011
Watchmen ,Acción,64,68,130,2009
Water For Elephants,Drama,60,72,38,2011
We Bought a Zoo,Comedia,63,79,50,2011
We Own the Night,Drama,55,63,21,2007
"Welcome Home, Roscoe Jenkins",Comedia,24,64,35,2008
What Happens in Vegas,Comedia,28,72,35,2008
What's Your Number,Comedia,24,50,20,2011
Whatever Works ,Comedia,50,63,15,2009
When in Rome,Comedia,15,44,0,2010
Where the Wild Things Are ,Aventura,73,59,100,2009
Whip It ,Drama,84,73,15,2009
Whiteout ,Acción,7,28,35,2009
Why Did I Get Married Too?,Comedia,27,67,20,2010
Wild Hogs,Comedia,14,72,90,2007
Winter's Bone,Drama,94,73,2,2010
X-Men Origins: Wolverine ,Acción,37,72,150,2009
X-Men: First Class,Acción,87,88,160,2011
Year One ,Aventura,14,31,60,2009
Yes Man,Comedia,43,72,70,2008
Yogi Bear,Comedia,14,36,80,2010
You Again,Comedia,18,45,20,2010
You Don't Mess with the Zohan,Comedia,36,50,80,2008
You Will Meet a Tall Dark Stranger,Comedia,43,35,22,2010
Your Highness,Comedia,26,36,50,2011
Youth in Revolt,Comedia,68,52,18,2009
Zack and Miri Make a Porno,Romance,64,70,24,2008
Zodiac,Suspenso,89,73,65,2007
Zombieland ,Acción,90,87,24,2009
Zookeeper,Comedia,14,42,80,2011
